"지역
(읍면동)","인원
(명)"
경기도 의정부시 자금동,10
전라남도 장성군 장성읍,10
대구광역시 달서구 월성2동,10
제주특별자치도 제주시 애월읍,10
강원도 강릉시 성덕동,10
경기도 시흥시 정왕2동,10
대구광역시 수성구 고산3동,10
인천광역시 남동구 남촌도림동,10
대전광역시 유성구 노은2동,10
경기도 성남시 중원구 상대원1동,10
대전광역시 유성구 신성동,10
경기도 수원시 권선구 권선1동,10
경기도 부천시 상동,10
전라남도 영암군 삼호읍,10
부산광역시 금정구 금사회동동,10
전라북도 익산시 삼성동,10
부산광역시 부산진구 부전제1동,10
제주특별자치도 서귀포시 남원읍,10
경기도 평택시 중앙동,10
충청남도 아산시 탕정면,10
부산광역시 사하구 하단제1동,10
충청북도 청주시 서원구 수곡1동,10
부산광역시 해운대구 재송제2동,10
서울특별시 강북구 우이동,10
경기도 부천시 역곡3동,10
충청북도 청주시 서원구 산남동,9
광주광역시 북구 건국동,9
경기도 성남시 수정구 시흥동,9
경기도 남양주시 호평동,9
제주특별자치도 제주시 아라동,9
대구광역시 북구 구암동,9
경기도 김포시 고촌읍,9
대구광역시 북구 산격2동,9
광주광역시 광산구 평동,9
대전광역시 동구 중앙동,9
전라북도 완주군 봉동읍,9
대전광역시 서구 관저1동,9
경상남도 김해시 삼안동,9
경기도 평택시 비전1동,9
대구광역시 남구 대명3동,9
대전광역시 중구 대흥동,9
인천광역시 남동구 논현고잔동,9
강원도 원주시 원인동,9
경기도 성남시 수정구 태평4동,9
경상남도 양산시 중앙동,9
전라남도 순천시 왕조1동,9
서울특별시 강서구 방화제3동,9
전라북도 군산시 흥남동,9
충청북도 청주시 흥덕구 복대1동,9
전라북도 완주군 이서면,9
광주광역시 광산구 우산동,9
제주특별자치도 제주시 한림읍,9
서울특별시 노원구 상계1동,9
충청남도 천안시 서북구 쌍용2동,9
서울특별시 양천구 신월5동,9
세종특별자치시 고운동,9
경기도 성남시 분당구 서현1동,9
경상북도 칠곡군 왜관읍,8
경상남도 김해시 장유2동,8
경기도 의정부시 녹양동,8
경기도 평택시 포승읍,8
경기도 오산시 신장동,8
대전광역시 대덕구 오정동,8
경상북도 포항시 북구 장량동,8
대전광역시 동구 삼성동,8
부산광역시 사상구 주례제1동,8
경기도 고양시 일산동구 풍산동,8
부산광역시 해운대구 좌제4동,8
서울특별시 서초구 서초2동,8
전라남도 여수시 미평동,8
대전광역시 동구 효동,8
경기도 화성시 화산동,8
서울특별시 종로구 종로1.2.3.4가동,8
경기도 수원시 권선구 세류1동,8
서울특별시 종로구 평창동,8
전라북도 전주시 완산구 진북동,8
경상북도 경산시 진량읍,8
충청남도 부여군 부여읍,8
충청북도 청주시 청원구 율량.사천동,8
충청남도 천안시 서북구 직산읍,8
대구광역시 북구 태전1동,8
대구광역시 중구 성내1동,8
대구광역시 달서구 송현2동,8
부산광역시 강서구 대저1동,8
경기도 성남시 분당구 판교동,8
경기도 김포시 월곶면,8
경기도 성남시 수정구 단대동,8
경기도 파주시 월롱면,8
대전광역시 서구 정림동,8
경기도 평택시 안중읍,8
대전광역시 유성구 노은3동,8
강원도 강릉시 교1동,8
인천광역시 남동구 논현동,8
전라북도 임실군 임실읍,8
"인천광역시 미추홀구 도화2,3동",8
전라북도 전주시 완산구 중화산1동,8
경기도 광명시 하안1동,8
제주특별자치도 서귀포시 안덕면,8
광주광역시 광산구 월곡2동,8
대구광역시 수성구 지산1동,8
경상북도 구미시 산동면,8
부산광역시 해운대구 재송제1동,8
대전광역시 유성구 온천1동,8
경기도 광주시 오포읍,8
대구광역시 서구 내당2.3동,8
충청북도 음성군 대소면,8
인천광역시 연수구 송도3동,8
충청북도 청주시 청원구 오근장동,8
인천광역시 연수구 청학동,8
전라남도 나주시 이창동,8
울산광역시 남구 야음장생포동,8
충청남도 천안시 서북구 성정2동,7
제주특별자치도 서귀포시 중문동,7
서울특별시 성동구 성수1가제2동,7
경상북도 포항시 남구 제철동,7
경기도 광주시 곤지암읍,7
대구광역시 수성구 고산2동,7
충청북도 청주시 서원구 성화.개신.죽림동,7
인천광역시 남동구 장수서창동,7
전라북도 전주시 완산구 풍남동,7
경기도 안성시 양성면,7
제주특별자치도 제주시 용담2동,7
경기도 성남시 수정구 산성동,7
경기도 이천시 창전동,7
부산광역시 사상구 덕포제2동,7
충청북도 음성군 금왕읍,7
대전광역시 서구 둔산1동,7
대구광역시 서구 평리6동,7
부산광역시 사하구 장림제1동,7
경기도 안양시 동안구 비산3동,7
인천광역시 부평구 청천2동,7
경기도 용인시 기흥구 신갈동,7
대전광역시 서구 변동,7
경기도 동두천시 송내동,7
경기도 화성시 동탄6동,7
경상북도 구미시 원평1동,7
부산광역시 영도구 청학제2동,7
충청남도 아산시 송악면,7
경기도 부천시 상3동,7
충청남도 천안시 동남구 청룡동,7
경상북도 경산시 하양읍,7
대구광역시 북구 관문동,7
인천광역시 중구 운서동,7
경기도 고양시 일산서구 탄현동,7
경기도 여주시 중앙동,7
인천광역시 남동구 구월1동,7
전라남도 강진군 대구면,7
경기도 수원시 영통구 매탄2동,7
대구광역시 수성구 두산동,7
대전광역시 유성구 온천2동,7
부산광역시 해운대구 중제1동,7
경기도 가평군 청평면,7
강원도 춘천시 석사동,7
경기도 수원시 장안구 율천동,7
경기도 용인시 처인구 중앙동,7
서울특별시 영등포구 영등포본동,7
서울특별시 강남구 청담동,7
경상남도 김해시 내외동,7
광주광역시 남구 양림동,7
경기도 남양주시 별내동,7
경기도 군포시 금정동,7
제주특별자치도 제주시 이도2동,7
경상남도 창원시 마산회원구 내서읍,7
충청남도 공주시 우성면,7
대전광역시 서구 탄방동,7
대구광역시 달서구 이곡2동,7
대전광역시 유성구 노은1동,7
경기도 양주시 회천4동,7
전라북도 군산시 소룡동,7
대구광역시 동구 신암5동,7
경상북도 경주시 월성동,7
경기도 수원시 팔달구 행궁동,7
서울특별시 구로구 구로제4동,7
경기도 안산시 단원구 고잔동,7
대구광역시 달서구 장기동,7
경상남도 김해시 장유3동,7
경기도 포천시 소흘읍,7
울산광역시 울주군 청량읍,7
전라북도 익산시 동산동,7
부산광역시 남구 문현제1동,7
대구광역시 중구 남산2동,7
경기도 남양주시 별내면,7
서울특별시 마포구 합정동,7
경상남도 사천시 벌룡동,7
경기도 용인시 기흥구 기흥동,7
부산광역시 부산진구 부암제3동,7
전라북도 전주시 덕진구 조촌동,7
울산광역시 울주군 언양읍,7
서울특별시 구로구 신도림동,7
충청남도 아산시 온양5동,6
제주특별자치도 서귀포시 영천동,6
서울특별시 강남구 압구정동,6
서울특별시 관악구 보라매동,6
충청남도 계룡시 엄사면,6
전라남도 목포시 동명동,6
경기도 파주시 금촌2동,6
전라남도 목포시 삼향동,6
대전광역시 중구 중촌동,6
경기도 성남시 중원구 야탑1동,6
울산광역시 중구 병영2동,6
광주광역시 북구 동림동,6
부산광역시 수영구 광안제4동,6
전라남도 목포시 용당1동,6
충청남도 천안시 동남구 중앙동,6
전라남도 목포시 용당2동,6
인천광역시 서구 불로대곡동,6
경상남도 창원시 진해구 풍호동,6
경기도 화성시 봉담읍,6
전라남도 목포시 하당동,6
경기도 수원시 장안구 정자3동,6
경기도 용인시 기흥구 상하동,6
울산광역시 울주군 온산읍,6
서울특별시 구로구 구로제5동,6
경기도 김포시 김포본동,6
부산광역시 금정구 남산동,6
경상북도 경산시 압량면,6
대구광역시 달성군 화원읍,6
경상남도 창원시 마산합포구 오동동,6
경상북도 구미시 형곡1동,6
인천광역시 미추홀구 주안2동,6
전라남도 여수시 여서동,6
경기도 용인시 기흥구 동백동,6
전라남도 여수시 주삼동,6
경기도 용인시 수지구 풍덕천1동,6
서울특별시 마포구 연남동,6
충청북도 제천시 화산동,6
전라남도 영암군 신북면,6
인천광역시 중구 신흥동,6
경기도 파주시 운정1동,6
충청북도 청주시 청원구 우암동,6
전라남도 해남군 해남읍,6
전라남도 나주시 남평읍,6
경기도 고양시 덕양구 화정1동,6
울산광역시 북구 효문동,6
경기도 수원시 권선구 서둔동,6
부산광역시 사상구 덕포제1동,6
서울특별시 서초구 서초3동,6
경기도 용인시 처인구 유림동,6
부산광역시 동래구 온천제1동,6
강원도 춘천시 동면,6
서울특별시 송파구 송파2동,6
부산광역시 사하구 다대제1동,6
부산광역시 동래구 온천제2동,6
경상남도 창녕군 대합면,6
경기도 고양시 일산동구 식사동,6
충청남도 당진시 석문면,6
경기도 파주시 조리읍,6
경기도 수원시 팔달구 우만1동,6
경기도 화성시 남양읍,6
부산광역시 해운대구 반송제2동,6
전라북도 익산시 중앙동,6
부산광역시 해운대구 반여제1동,6
서울특별시 은평구 녹번동,6
경기도 고양시 덕양구 창릉동,6
경기도 수원시 권선구 평동,6
부산광역시 해운대구 우제2동,6
전라북도 전주시 덕진구 인후2동,6
충청남도 천안시 서북구 불당동,6
전라북도 전주시 덕진구 인후3동,6
대구광역시 수성구 중동,6
서울특별시 은평구 이태원제2동,6
서울특별시 강남구 대치2동,6
경기도 용인시 수지구 상현1동,6
서울특별시 강남구 삼성1동,6
부산광역시 부산진구 양정제1동,6
강원도 원주시 중앙동,6
서울특별시 중구 신당제1동,6
서울특별시 강남구 역삼1동,6
부산광역시 부산진구 연지동,6
충청북도 청주시 청원구 내수읍,6
광주광역시 북구 일곡동,6
경상남도 창원시 성산구 성주동,6
경기도 고양시 덕양구 행주동,6
대전광역시 중구 오류동,6
울산광역시 남구 신정4동,6
전라남도 고흥군 도양읍,6
경상남도 거제시 장목면,6
대구광역시 북구 침산1동,6
대전광역시 서구 도마2동,6
대전광역시 중구 산성동,6
부산광역시 부산진구 개금제1동,5
인천광역시 부평구 부평1동,5
서울특별시 성동구 행당제2동,5
경기도 고양시 덕양구 성사1동,5
전라북도 전주시 완산구 효자3동,5
강원도 강릉시 포남1동,5
서울특별시 강동구 천호제3동,5
경기도 하남시 천현동,5
울산광역시 동구 남목3동,5
경기도 하남시 풍산동,5
전라남도 광양시 중마동,5
경기도 고양시 일산동구 장항2동,5
충청남도 아산시 둔포면,5
경기도 화성시 비봉면,5
충청북도 청주시 흥덕구 운천.신봉동,5
경기도 화성시 정남면,5
서울특별시 광진구 군자동,5
경상남도 거제시 사등면,5
서울특별시 은평구 구산동,5
경상남도 거제시 옥포2동,5
경기도 안산시 단원구 신길동,5
경상남도 김해시 진영읍,5
인천광역시 서구 검단동,5
경상남도 김해시 활천동,5
경기도 양주시 회천1동,5
경상남도 밀양시 내이동,5
충청남도 당진시 정미면,5
경상남도 양산시 평산동,5
충청북도 청주시 상당구 용암1동,5
경상남도 진주시 초장동,5
부산광역시 북구 덕천제2동,5
경상남도 창원시 마산합포구 월영동,5
경기도 성남시 중원구 하대원동,5
경상남도 창원시 마산합포구 진전면,5
서울특별시 강서구 가양제1동,5
경상남도 창원시 성산구 사파동,5
서울특별시 도봉구 창제5동,5
경상남도 창원시 성산구 중앙동,5
서울특별시 양천구 목3동,5
경상남도 창원시 의창구 용지동,5
서울특별시 중랑구 상봉제2동,5
경상남도 창원시 진해구 웅동2동,5
인천광역시 계양구 효성1동,5
경상남도 통영시 광도면,5
인천광역시 미추홀구 주안6동,5
경상북도 경주시 안강읍,5
인천광역시 부평구 일신동,5
경상북도 경주시 황성동,5
인천광역시 연수구 연수1동,5
경상북도 김천시 대신동,5
경기도 안양시 만안구 안양5동,5
경상북도 안동시 송하동,5
전라북도 전주시 덕진구 송천1동,5
경기도 구리시 동구동,5
경기도 용인시 기흥구 영덕동,5
경기도 구리시 인창동,5
충청남도 서산시 성연면,5
경기도 군포시 군포1동,5
충청남도 천안시 동남구 목천읍,5
경상북도 포항시 북구 흥해읍,5
충청북도 청주시 흥덕구 복대2동,5
광주광역시 광산구 삼도동,5
부산광역시 부산진구 당감제3동,5
강원도 삼척시 성내동,5
강원도 원주시 행구동,5
광주광역시 광산구 어룡동,5
충청북도 충주시 성내.충인동,5
경기도 군포시 대야동,5
부산광역시 해운대구 우제3동,5
경기도 군포시 산본2동,5
서울특별시 강북구 수유1동,5
경기도 김포시 구래동,5
서울특별시 관악구 신림동,5
광주광역시 남구 봉선2동,5
경기도 수원시 영통구 영통2동,5
광주광역시 남구 주월1동,5
서울특별시 동작구 신대방제2동,5
광주광역시 동구 계림1동,5
서울특별시 성북구 정릉제4동,5
광주광역시 동구 산수1동,5
서울특별시 영등포구 당산제2동,5
경기도 김포시 운양동,5
서울특별시 중구 을지로동,5
경기도 김포시 풍무동,5
세종특별자치시 종촌동,5
광주광역시 북구 풍향동,5
인천광역시 계양구 작전서운동,5
경기도 남양주시 진접읍,5
인천광역시 남동구 논현1동,5
대구광역시 달서구 죽전동,5
"인천광역시 미추홀구 숭의1,3동",5
대구광역시 달서구 진천동,5
인천광역시 미추홀구 주안7동,5
대구광역시 달성군 유가읍,5
경기도 안산시 상록구 본오2동,5
강원도 양양군 양양읍,5
인천광역시 부평구 청천1동,5
대구광역시 동구 신암2동,5
인천광역시 서구 오류왕길동,5
경기도 동두천시 소요동,5
인천광역시 중구 신포동,5
대구광역시 서구 상중이동,5
전라남도 영광군 영광읍,5
대구광역시 수성구 상동,5
전라북도 군산시 나운3동,5
대전광역시 대덕구 회덕동,5
전라북도 익산시 남중동,5
강원도 원주시 문막읍,5
경기도 오산시 서탄면,5
대전광역시 서구 용문동,5
전라북도 정읍시 내장상동,5
경기도 부천시 중3동,5
제주특별자치도 제주시 일도2동,5
경기도 부천시 춘의동,5
충청남도 서산시 대산읍,5
경기도 성남시 분당구 금곡동,5
충청남도 서천군 장항읍,5
대전광역시 중구 은행선화동,5
충청남도 예산군 신양면,5
경기도 성남시 분당구 수내1동,5
경기도 의왕시 부곡동,5
부산광역시 강서구 명지1동,5
경기도 의정부시 흥선동,5
부산광역시 금정구 서제1동,5
부산광역시 남구 용당동,5
부산광역시 연제구 연산제9동,5
대전광역시 서구 가장동,4
경상북도 구미시 상모사곡동,4
경상남도 양산시 덕계동,4
부산광역시 남구 우암제1동,4
경기도 안양시 동안구 호계2동,4
강원도 원주시 판부면,4
대전광역시 유성구 관평동,4
경상남도 진주시 상봉서동,4
경기도 안산시 상록구 반월동,4
부산광역시 부산진구 개금제3동,4
인천광역시 연수구 선학동,4
경상남도 진주시 천전동,4
경상북도 김천시 농소면,4
부산광역시 부산진구 범천제2동,4
제주특별자치도 서귀포시 중앙동,4
부산광역시 부산진구 범천제4동,4
경상북도 포항시 북구 두호동,4
강원도 강릉시 홍제동,4
인천광역시 동구 화수2동,4
경기도 성남시 수정구 위례동,4
경상북도 구미시 공단1동,4
경기도 고양시 덕양구 화정2동,4
대구광역시 북구 국우동,4
경기도 성남시 중원구 도촌동,4
경기도 안산시 상록구 해양동,4
부산광역시 사하구 괴정제3동,4
전라남도 여수시 한려동,4
부산광역시 사하구 신평제1동,4
대구광역시 중구 성내2동,4
부산광역시 사하구 하단제2동,4
경기도 용인시 기흥구 구갈동,4
부산광역시 서구 아미동,4
제주특별자치도 제주시 화북동,4
부산광역시 수영구 수영동,4
경상북도 영천시 청통면,4
충청북도 청주시 흥덕구 오송읍,4
경기도 의정부시 신곡2동,4
경기도 포천시 선단동,4
인천광역시 남동구 만수2동,4
경상남도 거제시 장평동,4
경상북도 경산시 중앙동,4
경기도 광명시 학온동,4
인천광역시 부평구 부평3동,4
부산광역시 해운대구 송정동,4
인천광역시 부평구 산곡3동,4
경기도 김포시 김포2동,4
경기도 안산시 상록구 본오3동,4
서울특별시 강남구 개포2동,4
경기도 안산시 상록구 사이동,4
서울특별시 강남구 논현1동,4
강원도 원주시 개운동,4
서울특별시 강남구 논현2동,4
전라남도 나주시 빛가람동,4
경기도 고양시 일산서구 일산3동,4
경기도 안양시 만안구 석수1동,4
경상남도 김해시 생림면,4
대구광역시 수성구 만촌1동,4
경상남도 창원시 진해구 석동,4
전라북도 김제시 황산면,4
서울특별시 강서구 등촌제1동,4
전라북도 전주시 덕진구 인후1동,4
경기도 파주시 운정3동,4
대전광역시 서구 갈마2동,4
광주광역시 동구 지산1동,4
강원도 홍천군 홍천읍,4
서울특별시 광진구 중곡제4동,4
경상북도 문경시 점촌5동,4
강원도 속초시 금호동,4
대전광역시 서구 월평1동,4
서울특별시 구로구 개봉제1동,4
충청남도 서산시 지곡면,4
서울특별시 구로구 고척제2동,4
경상남도 밀양시 상남면,4
서울특별시 구로구 오류제1동,4
충청남도 천안시 서북구 성정1동,4
서울특별시 금천구 시흥제1동,4
경상북도 포항시 북구 우창동,4
서울특별시 노원구 상계5동,4
부산광역시 금정구 청룡노포동,4
경상남도 김해시 한림면,4
인천광역시 남동구 만수6동,4
서울특별시 동대문구 전농제2동,4
경상북도 경산시 서부2동,4
서울특별시 동대문구 휘경제1동,4
경기도 파주시 법원읍,4
서울특별시 동작구 사당제3동,4
경상남도 밀양시 교동,4
경기도 김포시 장기동,4
인천광역시 부평구 부평4동,4
서울특별시 마포구 망원제2동,4
인천광역시 부평구 부평6동,4
서울특별시 마포구 상암동,4
인천광역시 부평구 삼산1동,4
서울특별시 마포구 성산제1동,4
경상북도 구미시 선주원남동,4
강원도 춘천시 동내면,4
인천광역시 서구 가좌2동,4
서울특별시 서초구 내곡동,4
인천광역시 서구 당하동,4
서울특별시 서초구 반포본동,4
대구광역시 북구 산격3동,4
서울특별시 서초구 방배본동,4
대구광역시 북구 칠성동,4
광주광역시 북구 석곡동,4
경기도 안산시 상록구 이동,4
서울특별시 성북구 정릉제2동,4
경상북도 군위군 소보면,4
경상남도 통영시 무전동,4
전라남도 목포시 연산동,4
서울특별시 송파구 문정2동,4
전라남도 보성군 보성읍,4
서울특별시 송파구 오륜동,4
전라남도 여수시 여천동,4
광주광역시 북구 임동,4
전라남도 영광군 묘량면,4
광주광역시 북구 중흥1동,4
대구광역시 수성구 범물2동,4
강원도 강릉시 중앙동,4
경기도 양주시 양주2동,4
서울특별시 용산구 한강로동,4
대구광역시 수성구 황금1동,4
경상남도 함안군 칠서면,4
대전광역시 대덕구 신탄진동,4
서울특별시 은평구 대조동,4
경기도 파주시 탄현면,4
경기도 수원시 팔달구 화서1동,4
강원도 홍천군 서면,4
서울특별시 중구 소공동,4
경기도 오산시 중앙동,4
경기도 남양주시 다산1동,4
제주특별자치도 서귀포시 대천동,4
서울특별시 중랑구 상봉제1동,4
경기도 용인시 기흥구 상갈동,4
광주광역시 서구 풍암동,4
경상북도 문경시 점촌2동,4
세종특별자치시 아름동,4
경기도 용인시 수지구 성복동,4
광주광역시 서구 화정1동,4
충청남도 당진시 당진1동,4
경기도 시흥시 목감동,4
충청남도 보령시 대천3동,4
울산광역시 남구 신정5동,4
대전광역시 유성구 구즉동,4
경기도 시흥시 신현동,4
경상남도 밀양시 삼문동,4
광주광역시 서구 화정3동,4
경기도 가평군 설악면,4
울산광역시 북구 농소2동,4
경상북도 칠곡군 지천면,4
울산광역시 울주군 범서읍,4
충청남도 천안시 서북구 백석동,4
울산광역시 중구 성안동,4
충청남도 청양군 청양읍,4
광주광역시 서구 화정4동,4
충청북도 제천시 송학면,4
경기도 남양주시 와부읍,4
경기도 의정부시 호원동,4
인천광역시 남동구 간석3동,4
경기도 이천시 모가면,4
대구광역시 달서구 용산1동,4
경기도 평택시 비전2동,4
경기도 남양주시 진건읍,4
충청북도 충주시 교현2동,4
부산광역시 영도구 청학제1동,4
부산광역시 해운대구 반송제1동,4
서울특별시 강서구 마곡동,4
경기도 의정부시 호원2동,3
전라남도 여수시 시전동,3
경기도 고양시 덕양구 주교동,3
경기도 부천시 괴안동,3
제주특별자치도 제주시 구좌읍,3
경상남도 창원시 마산합포구 산호동,3
강원도 춘천시 퇴계동,3
대구광역시 북구 읍내동,3
경기도 안성시 일죽면,3
경기도 광명시 철산2동,3
전라북도 무주군 설천면,3
경기도 부천시 범박동,3
경기도 고양시 덕양구 능곡동,3
대구광역시 북구 태전2동,3
강원도 동해시 묵호동,3
경기도 부천시 상2동,3
경기도 안산시 단원구 대부동,3
대구광역시 서구 평리2동,3
경기도 안산시 상록구 성포동,3
경상남도 창원시 마산회원구 회성동,3
전라남도 목포시 죽교동,3
경기도 부천시 소사본동,3
전라남도 화순군 화순읍,3
대구광역시 중구 삼덕동,3
광주광역시 서구 광천동,3
대구광역시 중구 성내3동,3
충청남도 논산시 부적면,3
경기도 고양시 일산동구 마두1동,3
충청북도 괴산군 불정면,3
대전광역시 대덕구 중리동,3
경상북도 포항시 남구 연일읍,3
경기도 고양시 일산동구 백석1동,3
경상남도 창녕군 창녕읍,3
대전광역시 동구 산내동,3
울산광역시 중구 태화동,3
대전광역시 동구 용전동,3
경상남도 김해시 칠산서부동,3
강원도 원주시 무실동,3
광주광역시 남구 월산4동,3
경상남도 창원시 성산구 웅남동,3
광주광역시 동구 학동,3
대전광역시 서구 괴정동,3
강원도 평창군 평창읍,3
대전광역시 서구 만년동,3
전라남도 순천시 중앙동,3
경상남도 창원시 의창구 봉림동,3
경상남도 양산시 동면,3
경기도 화성시 마도면,3
전라북도 김제시 검산동,3
경기도 부천시 원종1동,3
강원도 홍천군 내면,3
경상남도 창원시 의창구 팔룡동,3
경기도 오산시 세마동,3
경상남도 창원시 진해구 웅동1동,3
경기도 용인시 수지구 동천동,3
경기도 성남시 분당구 구미동,3
경상남도 진주시 성지동,3
대전광역시 유성구 원신흥동,3
충청남도 청양군 청남면,3
대전광역시 유성구 진잠동,3
경상남도 진주시 판문동,3
대전광역시 중구 부사동,3
대구광역시 동구 안심3.4동,3
경상남도 창원시 진해구 웅천동,3
울산광역시 남구 신정2동,3
경기도 광주시 경안동,3
울산광역시 동구 방어동,3
부산광역시 강서구 신호동,3
경기도 고양시 일산서구 일산2동,3
부산광역시 금정구 구서제2동,3
울산광역시 중구 약사동,3
경기도 성남시 분당구 운중동,3
인천광역시 계양구 작전2동,3
경기도 파주시 파주읍,3
경기도 안산시 단원구 와동,3
부산광역시 금정구 선두구동,3
인천광역시 미추홀구 용현5동,3
강원도 동해시 천곡동,3
경기도 포천시 신북면,3
부산광역시 남구 대연제3동,3
광주광역시 동구 중흥1동,3
강원도 강릉시 성산면,3
경상남도 밀양시 하남읍,3
부산광역시 남구 용호제1동,3
경상남도 사천시 정동면,3
부산광역시 동구 범일제4동,3
경기도 안양시 동안구 관양1동,3
부산광역시 동구 수정제2동,3
전라남도 목포시 유달동,3
강원도 원주시 태장2동,3
전라남도 보성군 조성면,3
부산광역시 동래구 명륜동,3
전라남도 신안군 압해읍,3
부산광역시 동래구 명장제1동,3
경기도 김포시 장기본동,3
부산광역시 동래구 명장제2동,3
광주광역시 북구 운암2동,3
부산광역시 부산진구 가야제1동,3
전라북도 군산시 나운2동,3
경기도 화성시 서신면,3
경상남도 양산시 상북면,3
부산광역시 북구 금곡동,3
전라북도 부안군 행안면,3
강원도 삼척시 가곡면,3
경기도 양평군 용문면,3
경상북도 경산시 와촌면,3
전라북도 전주시 완산구 삼천3동,3
경기도 성남시 중원구 금광1동,3
경기도 하남시 덕풍1동,3
부산광역시 사상구 모라제3동,3
제주특별자치도 제주시 연동,3
부산광역시 사상구 주례제3동,3
대구광역시 달서구 두류3동,3
부산광역시 사하구 당리동,3
충청남도 당진시 신평면,3
부산광역시 서구 암남동,3
충청남도 서산시 해미면,3
강원도 원주시 흥업면,3
경기도 의왕시 청계동,3
부산광역시 수영구 남천제1동,3
충청남도 태안군 남면,3
