"지역
(읍면동)","피해차량
(대)"
경기도 안산시 상록구 일동,105
인천광역시 남동구 논현동,104
충청북도 청주시 청원구 오창읍,104
대전광역시 유성구 온천1동,104
서울특별시 동대문구 전농제2동,104
경상북도 포항시 남구 제철동,103
경기도 평택시 비전1동,103
대구광역시 동구 안심3.4동,103
경기도 화성시 남양읍,102
인천광역시 연수구 연수1동,102
경기도 안산시 단원구 선부3동,102
서울특별시 마포구 연남동,102
경기도 오산시 신장동,101
경기도 남양주시 화도읍,101
경기도 안양시 동안구 호계2동,101
경기도 용인시 수지구 풍덕천1동,101
광주광역시 서구 풍암동,100
인천광역시 연수구 청학동,100
광주광역시 북구 오치1동,100
대구광역시 달서구 이곡2동,100
서울특별시 강남구 대치2동,99
대구광역시 북구 산격2동,99
경상북도 경주시 황성동,99
경상남도 창원시 성산구 사파동,98
부산광역시 사상구 모라제1동,98
울산광역시 남구 옥동,98
서울특별시 금천구 독산제1동,98
경기도 성남시 중원구 중앙동,98
대구광역시 달서구 장기동,98
부산광역시 부산진구 전포제2동,98
서울특별시 양천구 신정4동,97
경상남도 양산시 중앙동,97
경기도 광주시 오포읍,97
경기도 하남시 풍산동,96
경상남도 김해시 진영읍,96
경상남도 창원시 성산구 중앙동,96
부산광역시 해운대구 재송제2동,96
인천광역시 서구 검암경서동,95
충청남도 논산시 취암동,95
전라북도 전주시 완산구 효자4동,95
대전광역시 서구 월평3동,95
광주광역시 광산구 수완동,94
전라북도 전주시 완산구 풍남동,94
대전광역시 서구 관저1동,93
충청남도 천안시 동남구 신안동,93
울산광역시 남구 무거동,92
광주광역시 북구 건국동,92
충청북도 청주시 서원구 성화.개신.죽림동,91
광주광역시 남구 효덕동,91
경상남도 창원시 의창구 명곡동,91
경상남도 창원시 진해구 웅동2동,91
대구광역시 달서구 용산2동,91
광주광역시 북구 두암3동,91
경기도 안양시 만안구 석수2동,91
대구광역시 달성군 화원읍,91
서울특별시 용산구 한강로동,91
부산광역시 해운대구 재송제1동,90
서울특별시 용산구 후암동,90
경기도 용인시 처인구 포곡읍,90
경상북도 경산시 하양읍,89
서울특별시 강남구 삼성1동,89
서울특별시 중구 신당제1동,89
경상남도 창원시 의창구 용지동,89
경기도 고양시 일산동구 마두1동,89
충청남도 아산시 배방읍,89
경상남도 진주시 중앙동,88
경기도 안양시 동안구 관양1동,88
광주광역시 동구 충장동,88
부산광역시 강서구 명지1동,88
인천광역시 연수구 송도3동,87
경상북도 구미시 인동동,87
부산광역시 해운대구 중제1동,87
전라남도 순천시 해룡면,87
경상남도 창원시 마산회원구 내서읍,87
경상남도 창원시 의창구 봉림동,87
경기도 고양시 일산서구 송포동,87
울산광역시 남구 신정1동,87
경상남도 진주시 판문동,87
서울특별시 구로구 신도림동,86
경기도 의왕시 청계동,86
경상남도 김해시 장유2동,85
서울특별시 광진구 화양동,85
경기도 고양시 덕양구 흥도동,85
서울특별시 양천구 신월5동,84
경기도 시흥시 대야동,84
대구광역시 북구 태전1동,84
경상북도 포항시 남구 대이동,84
울산광역시 울주군 범서읍,84
인천광역시 미추홀구 학익1동,84
부산광역시 동래구 온천제1동,83
경상북도 구미시 산동면,83
경상남도 김해시 삼안동,83
서울특별시 관악구 보라매동,83
경기도 평택시 송북동,82
서울특별시 영등포구 여의동,81
서울특별시 강서구 방화제3동,81
서울특별시 강서구 우장산동,81
부산광역시 부산진구 개금제3동,81
경기도 용인시 기흥구 동백동,80
전라남도 여수시 여천동,80
대전광역시 서구 탄방동,80
경기도 성남시 분당구 구미동,80
부산광역시 동래구 온천제2동,80
경기도 수원시 권선구 평동,80
인천광역시 중구 운서동,80
경기도 평택시 안중읍,79
전라남도 무안군 삼향읍,79
경상북도 구미시 선주원남동,79
인천광역시 부평구 청천2동,79
경기도 이천시 창전동,79
대전광역시 대덕구 송촌동,78
경상북도 칠곡군 왜관읍,78
경기도 수원시 장안구 연무동,78
인천광역시 계양구 계산1동,78
경기도 화성시 봉담읍,78
부산광역시 수영구 남천제1동,78
충청북도 청주시 흥덕구 옥산면,78
전라북도 군산시 소룡동,77
경기도 수원시 권선구 세류1동,77
대구광역시 수성구 고산3동,77
부산광역시 수영구 수영동,77
경기도 시흥시 신천동,76
전라남도 광양시 중마동,76
인천광역시 남동구 장수서창동,76
전라북도 전주시 덕진구 인후1동,76
경기도 이천시 중리동,76
경기도 수원시 팔달구 우만1동,76
대전광역시 유성구 신성동,76
경기도 수원시 영통구 광교1동,76
경기도 안산시 단원구 원곡동,76
부산광역시 해운대구 좌제4동,76
경기도 화성시 화산동,75
대구광역시 동구 신암5동,75
경기도 오산시 대원동,75
울산광역시 북구 농소2동,75
전라남도 여수시 주삼동,75
부산광역시 강서구 대저1동,75
서울특별시 동대문구 용신동,75
광주광역시 광산구 운남동,75
서울특별시 중랑구 상봉제2동,75
경기도 남양주시 별내면,75
경기도 안양시 만안구 안양2동,75
제주특별자치도 제주시 일도1동,74
부산광역시 금정구 남산동,74
경기도 파주시 교하동,74
부산광역시 부산진구 부암제3동,74
광주광역시 서구 서창동,74
전라남도 화순군 화순읍,74
경상남도 창원시 의창구 의창동,74
충청남도 천안시 서북구 불당동,74
충청북도 청주시 서원구 산남동,74
경상북도 경산시 서부2동,74
경상북도 안동시 옥동,73
대구광역시 동구 효목1동,73
서울특별시 금천구 가산동,73
대전광역시 중구 중촌동,73
서울특별시 강서구 화곡제6동,73
경기도 수원시 장안구 영화동,73
경상북도 포항시 북구 흥해읍,73
경기도 부천시 춘의동,72
전라북도 익산시 신동,72
대구광역시 서구 내당2.3동,72
대구광역시 중구 성내1동,72
경상북도 포항시 북구 죽도동,72
경상남도 진주시 천전동,72
강원도 원주시 무실동,72
대전광역시 서구 변동,72
경기도 시흥시 월곶동,72
충청남도 아산시 온양4동,72
인천광역시 서구 신현원창동,72
충청북도 청주시 상당구 용암1동,72
강원도 강릉시 포남2동,71
경상북도 구미시 상모사곡동,71
서울특별시 구로구 고척제2동,71
대구광역시 서구 평리6동,71
경기도 고양시 일산서구 일산2동,71
대구광역시 달성군 현풍읍,71
광주광역시 북구 일곡동,71
서울특별시 송파구 송파2동,71
제주특별자치도 제주시 애월읍,71
인천광역시 남동구 남촌도림동,71
인천광역시 서구 오류왕길동,71
서울특별시 강남구 청담동,71
경기도 수원시 권선구 서둔동,70
인천광역시 미추홀구 주안2동,70
경기도 고양시 일산동구 장항2동,70
대구광역시 북구 침산1동,70
인천광역시 부평구 삼산1동,70
경기도 의정부시 송산2동,70
울산광역시 남구 야음장생포동,70
부산광역시 사하구 신평제1동,70
경상남도 김해시 회현동,70
충청남도 홍성군 홍성읍,70
인천광역시 서구 청라1동,70
경상남도 진주시 가호동,70
경기도 군포시 산본1동,70
강원도 원주시 호저면,69
서울특별시 서초구 서초3동,69
부산광역시 동래구 사직제3동,69
울산광역시 중구 다운동,69
경기도 수원시 영통구 매탄2동,69
경상남도 창원시 성산구 웅남동,69
경상남도 김해시 한림면,69
서울특별시 노원구 공릉2동,69
경상북도 경산시 압량면,68
경기도 파주시 금촌2동,68
경상북도 김천시 대신동,68
경기도 수원시 권선구 곡선동,68
부산광역시 부산진구 개금제1동,68
경기도 성남시 수정구 태평1동,68
경상북도 경주시 안강읍,68
대구광역시 북구 동천동,68
전라남도 여수시 여서동,68
경기도 남양주시 진접읍,68
대전광역시 대덕구 오정동,67
경기도 고양시 덕양구 화정1동,67
경기도 성남시 중원구 상대원1동,67
서울특별시 서초구 양재1동,67
전라북도 전주시 덕진구 인후3동,67
울산광역시 동구 남목3동,67
서울특별시 양천구 목3동,67
울산광역시 남구 신정2동,67
대전광역시 유성구 관평동,66
서울특별시 강북구 수유1동,66
대구광역시 북구 복현2동,66
대구광역시 수성구 만촌1동,66
경상남도 양산시 평산동,66
전라북도 전주시 덕진구 송천1동,66
인천광역시 남동구 간석3동,66
세종특별자치시 조치원읍,65
경상북도 경산시 북부동,65
경상남도 창원시 마산합포구 오동동,65
대구광역시 동구 안심1동,65
제주특별자치도 서귀포시 대정읍,65
경기도 성남시 중원구 야탑1동,65
경기도 고양시 덕양구 화정2동,65
인천광역시 부평구 부평3동,64
전라북도 정읍시 연지동,64
광주광역시 남구 주월2동,64
경상남도 거창군 거창읍,64
대구광역시 수성구 황금1동,64
강원도 강릉시 교1동,64
충청남도 천안시 서북구 백석동,64
경기도 화성시 동탄6동,64
강원도 강릉시 중앙동,64
제주특별자치도 제주시 일도2동,64
경기도 부천시 오정동,64
제주특별자치도 제주시 한림읍,64
서울특별시 마포구 서교동,64
전라북도 익산시 중앙동,63
경상북도 포항시 남구 상대동,63
경기도 성남시 분당구 판교동,63
전라남도 광양시 광양읍,63
부산광역시 동구 범일제4동,63
제주특별자치도 제주시 화북동,63
광주광역시 광산구 첨단2동,63
부산광역시 동구 초량제6동,63
충청북도 증평군 증평읍,63
경기도 평택시 포승읍,63
경상남도 양산시 서창동,63
부산광역시 부산진구 양정제1동,63
서울특별시 서초구 방배본동,63
경기도 여주시 중앙동,63
울산광역시 중구 성안동,62
경기도 의정부시 녹양동,62
전라남도 여수시 미평동,62
강원도 춘천시 퇴계동,62
경기도 안성시 공도읍,62
전라북도 김제시 요촌동,62
경기도 안성시 안성3동,62
경상남도 창원시 마산회원구 합성1동,62
대구광역시 북구 읍내동,62
부산광역시 사상구 덕포제1동,61
부산광역시 남구 문현제1동,61
경기도 남양주시 진건읍,61
서울특별시 영등포구 영등포본동,61
경기도 파주시 금촌3동,61
서울특별시 종로구 종로1.2.3.4가동,61
경상북도 경산시 동부동,61
광주광역시 남구 봉선1동,61
경상남도 창원시 마산합포구 월영동,61
부산광역시 연제구 거제제2동,61
대구광역시 수성구 고산2동,60
경기도 수원시 장안구 율천동,60
경기도 안양시 동안구 비산3동,60
광주광역시 서구 화정1동,60
경기도 수원시 장안구 파장동,60
부산광역시 사하구 괴정제3동,60
경기도 구리시 수택1동,60
강원도 원주시 판부면,60
서울특별시 강남구 논현2동,60
제주특별자치도 제주시 용담2동,59
부산광역시 동래구 온천제3동,59
대구광역시 수성구 범어4동,59
경기도 성남시 분당구 금곡동,59
대전광역시 대덕구 중리동,59
경기도 수원시 영통구 영통2동,59
경기도 안산시 상록구 안산동,59
경기도 성남시 분당구 수내1동,59
서울특별시 성동구 성수1가제2동,59
전라북도 전주시 완산구 효자1동,59
부산광역시 해운대구 반여제1동,59
인천광역시 연수구 송도1동,59
대전광역시 유성구 원신흥동,58
경기도 의정부시 자금동,58
경상북도 구미시 진미동,58
경기도 평택시 팽성읍,58
울산광역시 울주군 온산읍,58
대전광역시 유성구 노은2동,58
대구광역시 달서구 본리동,58
경기도 안양시 동안구 평촌동,58
서울특별시 서초구 반포본동,58
대구광역시 중구 성내2동,58
대구광역시 북구 노원동,58
경기도 군포시 산본2동,57
전라남도 영광군 영광읍,57
경기도 용인시 기흥구 구갈동,57
전라북도 익산시 모현동,57
대전광역시 유성구 노은3동,57
경기도 광명시 하안1동,57
부산광역시 부산진구 연지동,57
경기도 안산시 단원구 고잔동,57
서울특별시 강서구 화곡본동,57
부산광역시 금정구 선두구동,56
인천광역시 서구 가좌3동,56
경기도 의왕시 오전동,56
서울특별시 중구 을지로동,56
충청북도 제천시 청전동,56
경기도 남양주시 와부읍,56
서울특별시 중랑구 상봉제1동,56
경기도 평택시 비전2동,56
경기도 평택시 신평동,56
대구광역시 수성구 두산동,55
서울특별시 금천구 시흥제4동,55
충청북도 진천군 진천읍,55
서울특별시 강북구 우이동,55
전라남도 순천시 조곡동,55
경기도 양평군 양평읍,55
경기도 수원시 팔달구 행궁동,55
강원도 동해시 천곡동,55
대구광역시 달성군 옥포읍,55
경상남도 창원시 의창구 동읍,55
서울특별시 광진구 중곡제4동,54
충청남도 천안시 동남구 청룡동,54
경기도 성남시 수정구 산성동,54
대구광역시 달서구 상인2동,54
경기도 구리시 동구동,54
대구광역시 중구 대봉1동,54
대구광역시 북구 무태조야동,54
경기도 김포시 김포본동,54
서울특별시 마포구 성산제1동,54
서울특별시 영등포구 영등포동,54
경기도 부천시 도당동,54
경기도 군포시 군포1동,54
울산광역시 중구 병영2동,54
경상남도 진주시 이현동,54
부산광역시 동래구 명장제2동,54
부산광역시 사하구 장림제1동,54
경기도 성남시 수정구 단대동,54
서울특별시 은평구 역촌동,53
서울특별시 동작구 대방동,53
경기도 용인시 처인구 유림동,53
대전광역시 중구 은행선화동,53
광주광역시 광산구 송정2동,53
서울특별시 강남구 역삼2동,53
대구광역시 북구 구암동,53
경기도 부천시 원종1동,53
경상북도 구미시 양포동,53
전라북도 전주시 완산구 진북동,53
경기도 용인시 수지구 죽전2동,53
충청남도 천안시 서북구 쌍용1동,53
경상북도 구미시 형곡1동,53
경기도 파주시 문산읍,53
대전광역시 서구 괴정동,53
경기도 의왕시 부곡동,52
"인천광역시 미추홀구 숭의1,3동",52
서울특별시 마포구 상암동,52
경상북도 구미시 송정동,52
전라북도 전주시 덕진구 인후2동,52
경상북도 포항시 북구 두호동,52
부산광역시 사하구 다대제1동,52
경기도 시흥시 은행동,52
경기도 성남시 분당구 야탑3동,52
대구광역시 북구 칠성동,52
경기도 고양시 일산서구 주엽2동,52
대전광역시 동구 중앙동,52
대전광역시 동구 효동,52
경기도 남양주시 호평동,52
전라남도 해남군 해남읍,51
경기도 오산시 서탄면,51
경기도 용인시 수지구 성복동,51
부산광역시 금정구 금사회동동,51
전라남도 여수시 쌍봉동,51
충청남도 예산군 예산읍,51
경기도 시흥시 목감동,51
광주광역시 광산구 우산동,51
"인천광역시 미추홀구 도화2,3동",51
부산광역시 부산진구 당감제2동,51
경상남도 진주시 상평동,51
부산광역시 북구 만덕제1동,51
경상북도 경주시 성건동,51
강원도 홍천군 홍천읍,51
전라북도 군산시 조촌동,51
경기도 이천시 증포동,51
제주특별자치도 제주시 조천읍,51
대구광역시 달서구 성당동,51
경기도 수원시 장안구 정자2동,51
충청북도 청주시 흥덕구 오송읍,51
인천광역시 서구 검단동,50
전라북도 완주군 봉동읍,50
경상북도 포항시 남구 효곡동,50
경기도 안산시 상록구 이동,50
강원도 원주시 중앙동,50
대전광역시 서구 정림동,50
전라남도 여수시 시전동,50
경기도 용인시 기흥구 상갈동,50
경상북도 경산시 진량읍,50
부산광역시 남구 문현제2동,50
충청남도 당진시 당진3동,50
경기도 평택시 송탄동,50
충청북도 청주시 흥덕구 가경동,50
경상남도 창원시 성산구 상남동,49
경상북도 경주시 황오동,49
경기도 광주시 광남동,49
부산광역시 남구 용호제1동,49
전라북도 고창군 고창읍,49
부산광역시 사상구 삼락동,49
경상남도 양산시 삼성동,49
강원도 원주시 태장2동,49
대전광역시 서구 갈마2동,49
서울특별시 광진구 중곡제3동,49
광주광역시 북구 문흥1동,49
서울특별시 중랑구 신내1동,49
전라북도 익산시 남중동,49
부산광역시 금정구 청룡노포동,49
경상북도 경주시 동천동,49
인천광역시 미추홀구 용현5동,49
경기도 고양시 일산서구 송산동,49
경기도 군포시 금정동,48
인천광역시 중구 신포동,48
부산광역시 사상구 주례제1동,48
경기도 부천시 성곡동,48
충청북도 옥천군 옥천읍,48
울산광역시 동구 방어동,48
전라남도 목포시 하당동,48
경상북도 구미시 원평2동,47
서울특별시 영등포구 양평제2동,47
전라북도 전주시 덕진구 우아2동,47
서울특별시 구로구 구로제4동,47
서울특별시 동작구 신대방제2동,47
경상남도 진주시 금산면,47
강원도 춘천시 후평1동,47
서울특별시 은평구 대조동,47
경기도 수원시 권선구 구운동,47
경상북도 포항시 남구 해도동,47
전라남도 여수시 충무동,47
강원도 삼척시 성내동,46
서울특별시 마포구 합정동,46
경상남도 창원시 마산회원구 회원2동,46
울산광역시 중구 학성동,46
광주광역시 서구 양3동,46
부산광역시 연제구 연산제9동,46
경기도 고양시 일산동구 정발산동,46
서울특별시 노원구 중계4동,46
서울특별시 동대문구 휘경제1동,46
경상북도 포항시 남구 연일읍,45
전라북도 전주시 덕진구 팔복동,45
부산광역시 동구 좌천제4동,45
대구광역시 북구 침산2동,45
울산광역시 울주군 언양읍,45
경기도 남양주시 다산1동,45
경상남도 진주시 성북동,45
서울특별시 구로구 오류제1동,45
부산광역시 부산진구 초읍동,45
서울특별시 도봉구 방학제2동,45
대구광역시 북구 국우동,45
대구광역시 중구 성내3동,45
경상남도 양산시 동면,45
경기도 시흥시 정왕1동,45
경기도 안성시 안성2동,45
광주광역시 광산구 어룡동,45
대구광역시 동구 지저동,45
서울특별시 성북구 정릉제4동,45
경기도 동두천시 송내동,45
서울특별시 송파구 오륜동,45
경기도 의정부시 신곡1동,45
경기도 용인시 기흥구 상하동,45
경상남도 창원시 성산구 반송동,45
울산광역시 남구 대현동,45
충청남도 아산시 온양3동,45
대전광역시 중구 대흥동,45
대구광역시 동구 신암4동,45
경상남도 통영시 광도면,44
경기도 이천시 부발읍,44
부산광역시 사하구 하단제1동,44
충청남도 천안시 서북구 쌍용2동,44
경기도 수원시 권선구 권선2동,44
인천광역시 부평구 청천1동,44
경기도 성남시 중원구 은행2동,44
인천광역시 서구 가좌1동,44
경상남도 창원시 성산구 성주동,44
인천광역시 연수구 옥련2동,44
제주특별자치도 서귀포시 영천동,44
세종특별자치시 새롬동,44
부산광역시 영도구 청학제2동,44
서울특별시 성동구 성수2가제1동,44
전라북도 부안군 부안읍,44
경상북도 안동시 송하동,44
경상남도 창녕군 창녕읍,43
세종특별자치시 종촌동,43
전라남도 순천시 풍덕동,43
경기도 수원시 팔달구 지동,43
충청남도 서산시 동문1동,43
대구광역시 남구 대명9동,43
대전광역시 유성구 노은1동,43
경기도 의정부시 신곡2동,43
경기도 용인시 처인구 역삼동,43
인천광역시 미추홀구 주안1동,43
울산광역시 울주군 청량읍,43
서울특별시 강동구 천호제2동,43
충청남도 서산시 부춘동,43
경기도 고양시 덕양구 관산동,43
경기도 안산시 단원구 신길동,43
경기도 포천시 소흘읍,43
경기도 구리시 인창동,43
서울특별시 영등포구 대림제3동,43
경기도 부천시 송내1동,43
충청남도 태안군 태안읍,42
경기도 용인시 수지구 동천동,42
광주광역시 서구 화정3동,42
전라북도 완주군 이서면,42
부산광역시 해운대구 송정동,42
대구광역시 동구 해안동,42
경상북도 구미시 도량동,42
대구광역시 북구 관문동,42
경기도 남양주시 별내동,42
대전광역시 중구 산성동,42
부산광역시 해운대구 우제2동,42
전라북도 전주시 덕진구 조촌동,42
경기도 양주시 회천2동,42
부산광역시 남구 용당동,42
경상북도 상주시 북문동,42
대구광역시 북구 관음동,42
경기도 수원시 장안구 송죽동,42
서울특별시 은평구 불광제2동,42
울산광역시 남구 신정5동,42
서울특별시 강서구 방화제2동,42
울산광역시 중구 중앙동,42
경기도 안산시 상록구 본오1동,42
경상북도 칠곡군 석적읍,42
광주광역시 남구 양림동,41
경기도 부천시 심곡2동,41
경기도 광주시 초월읍,41
경기도 성남시 중원구 금광2동,41
서울특별시 송파구 잠실2동,41
경기도 하남시 신장2동,41
충청남도 천안시 서북구 성환읍,41
전라북도 전주시 완산구 중화산1동,41
경상남도 함양군 함양읍,41
전라남도 순천시 삼산동,41
인천광역시 부평구 부평6동,41
대구광역시 수성구 상동,41
경기도 성남시 수정구 시흥동,41
경기도 수원시 팔달구 매산동,41
경기도 부천시 상3동,41
부산광역시 동래구 수민동,41
울산광역시 울주군 온양읍,41
광주광역시 남구 봉선2동,41
경기도 김포시 구래동,41
제주특별자치도 제주시 삼도1동,41
서울특별시 종로구 평창동,41
서울특별시 송파구 문정2동,41
서울특별시 성동구 행당제2동,41
광주광역시 남구 월산4동,40
대구광역시 남구 이천동,40
서울특별시 송파구 오금동,40
충청북도 청주시 흥덕구 사창동,40
경상남도 진주시 상봉서동,40
강원도 영월군 영월읍,40
제주특별자치도 서귀포시 성산읍,40
서울특별시 도봉구 창제5동,40
경기도 수원시 권선구 세류2동,40
부산광역시 수영구 광안제1동,40
광주광역시 광산구 비아동,40
경기도 하남시 천현동,40
경상북도 구미시 고아읍,40
서울특별시 서대문구 신촌동,40
충청북도 청주시 서원구 수곡1동,40
인천광역시 중구 신흥동,40
부산광역시 사상구 학장동,40
전라남도 영암군 삼호읍,39
울산광역시 북구 농소1동,39
경상북도 포항시 남구 오천읍,39
경상북도 예천군 예천읍,39
경기도 수원시 영통구 영통3동,39
전라북도 익산시 삼성동,39
서울특별시 용산구 이태원제2동,39
부산광역시 연제구 연산제4동,39
서울특별시 동작구 상도제1동,39
경상북도 포항시 북구 우창동,39
제주특별자치도 제주시 외도동,39
경상남도 밀양시 부북면,39
충청남도 계룡시 엄사면,39
대구광역시 동구 신암2동,39
충청남도 보령시 대천1동,39
경기도 의정부시 호원2동,39
경상남도 진주시 상대동,39
경상북도 문경시 점촌3동,39
경기도 화성시 팔탄면,39
경상남도 거창군 마리면,39
경상북도 포항시 북구 용흥동,39
경기도 가평군 가평읍,39
경기도 수원시 권선구 호매실동,39
제주특별자치도 제주시 삼양동,39
경상남도 김해시 칠산서부동,39
전라북도 전주시 덕진구 진북동,38
충청북도 청주시 청원구 우암동,38
경기도 성남시 중원구 성남동,38
강원도 강릉시 성덕동,38
대전광역시 대덕구 신탄진동,38
경기도 용인시 기흥구 영덕동,38
대구광역시 수성구 중동,38
부산광역시 금정구 장전제2동,38
경기도 부천시 중3동,38
경기도 안산시 단원구 와동,38
경기도 시흥시 연성동,38
경기도 화성시 송산면,38
전라남도 목포시 용당1동,38
경상북도 영천시 동부동,38
경상남도 창원시 진해구 석동,38
경기도 고양시 일산동구 중산동,38
경기도 안양시 만안구 석수1동,38
서울특별시 서초구 양재2동,38
경기도 평택시 청북읍,38
경상북도 경산시 서부1동,38
경상북도 영주시 가흥2동,37
대전광역시 동구 용전동,37
경상남도 창원시 의창구 북면,37
경상북도 경주시 중부동,37
경상북도 안동시 중구동,37
부산광역시 수영구 광안제4동,37
경기도 고양시 덕양구 행주동,37
경기도 파주시 조리읍,37
인천광역시 부평구 부개3동,37
경기도 안산시 상록구 성포동,37
경기도 성남시 수정구 수진2동,37
서울특별시 송파구 송파1동,37
경상남도 진주시 성지동,37
서울특별시 은평구 불광제1동,37
전라북도 부안군 행안면,37
경기도 고양시 일산동구 풍산동,37
광주광역시 북구 신안동,37
경기도 성남시 수정구 복정동,37
경기도 남양주시 오남읍,37
대구광역시 수성구 고산1동,37
경기도 성남시 분당구 분당동,36
서울특별시 영등포구 당산제2동,36
제주특별자치도 서귀포시 남원읍,36
경기도 광주시 곤지암읍,36
전라남도 목포시 신흥동,36
울산광역시 남구 신정4동,36
서울특별시 은평구 녹번동,36
경기도 성남시 분당구 운중동,36
충청북도 청주시 상당구 성안동,36
서울특별시 강서구 등촌제1동,36
경기도 시흥시 신현동,36
경기도 김포시 고촌읍,36
경상남도 진주시 칠암동,36
서울특별시 구로구 구로제5동,36
전라북도 전주시 덕진구 송천2동,36
서울특별시 동작구 사당제3동,36
경상남도 창원시 성산구 가음정동,36
경기도 파주시 운정1동,36
서울특별시 강서구 가양제1동,36
대구광역시 북구 산격3동,36
충청남도 서산시 석남동,36
서울특별시 송파구 풍납2동,36
경상남도 거제시 옥포2동,36
서울특별시 서대문구 충현동,35
대구광역시 수성구 지산2동,35
광주광역시 광산구 신가동,35
경기도 고양시 일산동구 식사동,35
광주광역시 광산구 월곡2동,35
부산광역시 사상구 주례제3동,35
서울특별시 서초구 반포4동,35
서울특별시 영등포구 문래동,35
대구광역시 남구 대명5동,35
경기도 시흥시 배곧동,35
경기도 광명시 철산1동,35
대구광역시 달성군 유가읍,35
경상남도 창원시 마산합포구 산호동,35
대전광역시 서구 둔산1동,35
경기도 고양시 일산서구 탄현동,35
인천광역시 연수구 선학동,35
부산광역시 금정구 부곡제3동,35
경기도 이천시 마장면,35
경기도 부천시 소사본동,35
서울특별시 마포구 망원제2동,35
제주특별자치도 서귀포시 중문동,35
경상남도 진주시 집현면,35
강원도 속초시 영랑동,35
서울특별시 마포구 아현동,35
경기도 화성시 동탄5동,35
서울특별시 마포구 용강동,35
경기도 군포시 대야동,35
경상남도 거제시 장평동,35
서울특별시 중구 소공동,34
대전광역시 중구 부사동,34
서울특별시 용산구 이태원제1동,34
경상남도 김해시 주촌면,34
대구광역시 남구 봉덕1동,34
대구광역시 중구 남산2동,34
경상남도 함안군 가야읍,34
부산광역시 사상구 주례제2동,34
부산광역시 부산진구 양정제2동,34
부산광역시 북구 덕천제2동,34
부산광역시 강서구 대저2동,34
